B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE,B.Com With COMPUTER APPLICATIONS,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION
,,,C23UG208CAP075,C23UG208COM075,,C23UG208CCA075,,,,,C23UG208CSC077,,,,C23UG208MIB075,,
,,,C23UG208CAP076,C23UG208COM076,,C23UG208CCA076,,,,,C23UG208CSC078,,,,C23UG208MIB076,,
,,,C23UG208CAP077,C23UG208COM077,,C23UG208CCA077,,,,,C23UG208CSC079,,,,C23UG208MIB077,,
,,,C23UG208CAP078,C23UG208COM078,,C23UG208CCA079,,,,,C23UG208CSC080,,,,C23UG208MIB078,,
,,,C23UG208CAP079,C23UG208COM080,,C23UG208CCA080,,,,,C23UG208CSC081,,,,C23UG208MIB079,,
,,,C23UG208CAP080,C23UG208COM081,,C23UG208CCA082,,,,,C23UG208CSC082,,,,C23UG208MIB081,,
,,,C23UG208CAP081,C23UG208COM082,,C23UG208CCA083,,,,,C23UG208CSC083,,,,C23UG208MIB083,,
,,,C23UG208CAP082,C23UG208COM083,,C23UG208CCA084,,,,,C23UG208CSC084,,,,C23UG208MIB084,,
,,,C23UG208CAP084,C23UG208COM084,,C23UG208CCA086,,,,,C23UG208CSC085,,,,C23UG208MIB085,,
,,,C23UG222CAP001,C23UG208COM085,,C23UG208CCA087,,,,,C23UG208CSC086,,,,C23UG208MIB086,,
,,,,C23UG208COM086,,C23UG208CCA089,,,,,C23UG208CSC901,,,,C23UG208MIB087,,
,,,,C23UG208COM087,,C23UG208CCA090,,,,,C23UG217CSC001,,,,C23UG208MIB088,,
,,,,C23UG208COM088,,C23UG208CCA091,,,,,,,,,,,
,,,,C23UG208COM091,,C23UG208CCA093,,,,,,,,,,,
,,,,C23UG208COM092,,C23UG208CCA094,,,,,,,,,,,
,,,,C23UG208COM093,,C23UG208CCA095,,,,,,,,,,,
,,,,C23UG208COM094,,C23UG208CCA096,,,,,,,,,,,
,,,,C23UG208COM095,,C23UG208CCA097,,,,,,,,,,,
,,,,C23UG208COM096,,C23UG208CCA098,,,,,,,,,,,
