B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE, DEPARTMENT OF COMMERCE IT ,DEPARTEMNT OF COMMERCE PA,B.Com With COMPUTER APPLICATIONS,B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc COMPUTER SCIENCE,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION,M.Sc MICROBIOLOGY,M.Com,M.Sc COMPUTER SCIENCE,M.A ENGLISH,M.Sc TFD, M.S.W
,,C25UG208BAD051,C25UG208CAP052,C25UG208COM052,,C25UG208CIT051,,C25UG208CCA055,,,,C25UG208AID053,C25UG208CSC053,,,,C25UG208INT054,C25UG208MIB051,,,,,,,,
,,C25UG208BAD053,C25UG208CAP053,C25UG208COM053,,C25UG208CIT052,,C25UG208CCA056,,,,C25UG208AID054,C25UG208CSC054,,,,C25UG208INT055,C25UG208MIB052,,,,,,,,
,,C25UG208BAD054,C25UG208CAP054,C25UG208COM054,,C25UG208CIT053,,C25UG208CCA057,,,,C25UG208AID055,C25UG208CSC055,,,,C25UG208INT056,C25UG208MIB053,,,,,,,,
,,C25UG208BAD055,C25UG208CAP055,C25UG208COM055,,C25UG208CIT054,,C25UG208CCA058,,,,C25UG208AID056,C25UG208CSC056,,,,,C25UG208MIB054,,,,,,,,
,,C25UG208BAD056,C25UG208CAP056,C25UG208COM056,,C25UG208CIT055,,C25UG208CCA059,,,,C25UG208AID057,C25UG208CSC057,,,,,C25UG208MIB055,,,,,,,,
,,C25UG208BAD057,C25UG208CAP057,C25UG208COM057,,C25UG208CIT056,,C25UG208CCA060,,,,C25UG208AID058,C25UG208CSC058,,,,,C25UG208MIB056,,,,,,,,
,,C25UG208BAD058,C25UG208CAP058,C25UG208COM058,,C25UG208CIT057,,C25UG208CCA061,,,,C25UG208AID059,C25UG208CSC059,,,,,C25UG208MIB057,,,,,,,,
,,C25UG208BAD059,C25UG208CAP059,C25UG208COM060,,C25UG208CIT058,,C25UG208CCA062,,,,C25UG208AID060,C25UG208CSC060,,,,,C25UG208MIB058,,,,,,,,
,,C25UG208BAD060,C25UG208CAP060,C25UG208COM061,,C25UG208CIT059,,C25UG208CCA063,,,,C25UG208AID061,C25UG208CSC061,,,,,C25UG208MIB059,,,,,,,,
,,C25UG208BAD061,C25UG208CAP061,C25UG208COM062,,C25UG208CIT060,,C25UG208CCA064,,,,C25UG208AID062,C25UG208CSC062,,,,,C25UG208MIB060,,,,,,,,
,,C25UG208BAD062,C25UG208CAP062,C25UG208COM063,,C25UG208CIT062,,C25UG208CCA065,,,,C25UG208AID063,C25UG208CSC063,,,,,C25UG208MIB061,,,,,,,,
,,C25UG208BAD063,C25UG208CAP063,C25UG208COM064,,C25UG208CIT063,,C25UG208CCA066,,,,C25UG208AID064,C25UG208CSC064,,,,,,,,,,,,,
,,C25UG208BAD065,C25UG208CAP064,C25UG208COM065,,C25UG208CIT064,,C25UG208CCA067,,,,C25UG208AID065,C25UG208CSC065,,,,,,,,,,,,,
,,C25UG208BAD066,C25UG208CAP065,C25UG208COM066,,C25UG208CIT065,,C25UG208CCA068,,,,C25UG208AID066,C25UG208CSC066,,,,,,,,,,,,,
,,C25UG208BAD067,C25UG208CAP066,C25UG208COM067,,,,C25UG208CCA069,,,,C25UG208AID067,C25UG208CSC067,,,,,,,,,,,,,
,,C25UG208BAD068,C25UG208CAP067,C25UG208COM068,,,,C25UG208CCA070,,,,C25UG208AID069,C25UG208CSC068,,,,,,,,,,,,,
